pattern,label,original_price_eur,specs,score,better_than_baseline,kind,brand,source_url,frame_material
"Giant.{0,20}\bTCR\b|\bTCR\b.{0,20}Giant|\bTCR\s*(Composite|Aluxx|SL|[0-3])\b",Giant TCR (overig),,"TCR zonder ""Advanced"" in de titel: dat kan aluminium (TCR 1/2 compact) of carbon (TCR Composite) zijn — materiaal in de advertentie controleren. Catalogus (reference_bike_catalog.csv): 14 uitvoeringen, modeljaren 2010-2019; framemateriaal daar: carbon 7, aluminium 6, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20130210064727/http://www.giant-bicycles.com:80/nl-nl/bikes/model/tcr.composite.1/12247/58065/,
\bPropel\b,Giant Propel,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 111 uitvoeringen, modeljaren 2014-2027; framemateriaal daar: carbon 107, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20160423102434/http://www.giant-bicycles.com/nl-NL/bikes/model/propel.advanced.1/22357/84301/,
"Giant.{0,20}\bContend\b|\bContend\s*(SL|AR|[1-3])\b",Giant Contend,,"Instap-racefiets. Catalogus (reference_bike_catalog.csv): 52 uitvoeringen, modeljaren 2017-2026; framemateriaal daar: aluminium 52. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20190920082452/https://www.giant-bicycles.com/nl/contend-1-2018,
"Giant.{0,20}\bTCX\b|\bTCX\s*(Advanced|SLR|\d)",Giant TCX,,"Cyclocross. Catalogus (reference_bike_catalog.csv): 11 uitvoeringen, modeljaren 2019-2021; framemateriaal daar: onbekend 11. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20190721001333/https://www.giant-bicycles.com/nl/bikes-tcx-espoir-26,
\bAvail\b,Giant/Liv Avail,,"Damesmodel (Liv), aluminium en carbon (Advanced) door elkaar. Catalogus (reference_bike_catalog.csv): 22 uitvoeringen, modeljaren 2012-2017; framemateriaal daar: carbon 14, aluminium 6, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20160423121900/http://www.giant-bicycles.com/nl-NL/bikes/model/avail.1/18501/75948/,
"Attain.{0,10}GTC",Cube Attain GTC,,"GTC is de carbonuitvoering van de Attain. Catalogus (reference_bike_catalog.csv): 14 uitvoeringen, modeljaren 2016-2021; framemateriaal daar: carbon 14. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.bikezona.com/bicicletas/cube-attain-gtc/24186,carbon
\bAttain\b,Cube Attain (overig),,"Zonder GTC meestal de aluminium Attain, maar de catalogus heeft beide — materiaal controleren. Catalogus (reference_bike_catalog.csv): 39 uitvoeringen, modeljaren 2016-2021; framemateriaal daar: aluminium 22, carbon 17. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-attain-c-62-race-carbon-n-coalchrome/1131300,
"Nuroad.{0,5}C:?\s?62",Cube Nuroad C:62,,"C:62 is Cubes carbonaanduiding. Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: carbon 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-nuroad-c-62-ex-surfblue-n-black/1136300,carbon
\bNu\s?road\b,Cube Nuroad (overig),,"Gravelbike; zonder C:62 in de titel aluminium of carbon — controleren. Catalogus (reference_bike_catalog.csv): 17 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: carbon 9, aluminium 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-nuroad-c-62-ex-surfblue-n-black/1136300,
"Cube.{0,20}\bAgree\b|\bAgree\s*(C:?\s?62|GTC|SL)\b",Cube Agree,,"Catalogus (reference_bike_catalog.csv): 40 uitvoeringen, modeljaren 2012-2021; framemateriaal daar: carbon 33, onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-agree-c-62-ex-glacier-n-black/1132100,
\bLitt?ening\b,Cube Litening,,"Catalogus (reference_bike_catalog.csv): 44 uitvoeringen, modeljaren 2012-2021; framemateriaal daar: carbon 36, onbekend 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-litening-aero-c-68x-orbit-digitalcarbon-n-prizm/1133650,
"Cube.{0,20}\bAxial\b",Cube Axial,,"Damesmodel. Catalogus (reference_bike_catalog.csv): 27 uitvoeringen, modeljaren 2012-2021; framemateriaal daar: carbon 12, aluminium 12, onbekend 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.bikezona.com/bicicletas/cube-axial-wls/12005,
"Cube.{0,20}\bPel[oe]ton\b",Cube Peloton,,"Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaren 2012-2015; framemateriaal daar: aluminium 5, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.bikezona.com/bicicletas/cube-peloton/11947,
"Cube.{0,20}\bCross\s*Race\b",Cube Cross Race,,"Cyclocross. Catalogus (reference_bike_catalog.csv): 5 uitvoeringen, modeljaren 2012-2012; framemateriaal daar: carbon 3, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cube,https://www.cube.eu/nl-nl/cube-cross-race-c-62-pro-greenfusion-n-black/1139200,
"Madone\s*2[.,]\d",Trek Madone 2.1-2.5,,"De Madone 2.x is de aluminium (Alpha) Madone. Catalogus (reference_bike_catalog.csv): 12 uitvoeringen, modeljaren 2013-2015; framemateriaal daar: aluminium 12. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://www.trekbikes.com/nl/nl_NL/c/madone-2-1-h2-compact/a/15261/,aluminium
\bMadone\b,Trek Madone (overig),,"Van 3.x/4.x/5.x tot SL/SLR en Gen 8 — generaties lopen sterk uiteen; modeljaar en uitvoering in de advertentie zoeken. Catalogus (reference_bike_catalog.csv): 222 uitvoeringen, modeljaren 2010-2026; framemateriaal daar: carbon 172, onbekend 38, aluminium 12. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/prestatiegerichte-racefietsen/madone/madone-sl/madone-sl-7-gen-8--the-first-50-replica/p/81695/,
"[EÉ]monda.{0,10}\bALR",Trek Émonda ALR,,"ALR is Treks aluminiumaanduiding. Catalogus (reference_bike_catalog.csv): 32 uitvoeringen, modeljaren 2016-2026; framemateriaal daar: aluminium 27, onbekend 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://web.archive.org/web/20160416180232/http://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/performance-racefietsen/%C3%A9monda-alr/%C3%A9monda-alr-4/p/1424000-2016,aluminium
\b[EÉ]monda\b,Trek Émonda (overig),,"S, SL en SLR; uitvoering en remtype in de advertentie controleren. Catalogus (reference_bike_catalog.csv): 215 uitvoeringen, modeljaren 2015-2026; framemateriaal daar: carbon 169, aluminium 27, onbekend 19. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://web.archive.org/web/20160416180232/http://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/performance-racefietsen/%C3%A9monda-alr/%C3%A9monda-alr-4/p/1424000-2016,
"Trek.{0,20}(\b[12][.,][1-7]\b|\bAlpha\b)",Trek 1-/2-serie (Alpha),,"Oudere instap-racefietsen (1.1, 1.2, 2.1, 2.3 ...); Alpha is Treks aluminiumnaam van die tijd. Catalogus (reference_bike_catalog.csv): 36 uitvoeringen, modeljaren 2011-2017; framemateriaal daar: aluminium 35, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://web.archive.org/web/20160418190503/http://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/performance-racefietsen/1-series/1-1/p/1400000-2016,
\bLexa\b,Trek Lexa,,"Damesmodel. Catalogus (reference_bike_catalog.csv): 37 uitvoeringen, modeljaren 2012-2017; framemateriaal daar: aluminium 36, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://web.archive.org/web/20160419182141/http://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/endurance-racefietsen/lexa-dames/lexa-dames/p/1400003-2016,
"Trek.{0,20}\bCheckpoint\b|\bCheckpoint\s*(ALR|SLR?)\b",Trek Checkpoint,,"Gravelbike. Catalogus (reference_bike_catalog.csv): 7 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://www.trekbikes.com/nl/nl_NL/fietsen/vakantie-en-toerfietsen/checkpoint/checkpoint-alr/f/F224-2/checkpoint-alr-3-gen-3/49944/,
\bBoone\b,Trek Boone,,"Cyclocross. Catalogus (reference_bike_catalog.csv): 20 uitvoeringen, modeljaren 2015-2026; framemateriaal daar: carbon 17, onbekend 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://web.archive.org/web/20160419132332/http://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/cyclocross-fietsen/boone/boone-5-disc/p/2464000-2016,
Speed\s*Concept,Trek Speed Concept,,"Tijdrit/triathlon. Catalogus (reference_bike_catalog.csv): 57 uitvoeringen, modeljaren 2012-2026; framemateriaal daar: carbon 46, onbekend 8, aluminium 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Trek,https://www.trekbikes.com/nl/nl_NL/fietsen/racefietsen/triatlonfietsen/speed-concept/f/F231/speed-concept-slr-9/86499/,
\bSpeedster\b,Scott Speedster,,"Instap-racefiets; Speedster Gravel valt hier ook onder. Catalogus (reference_bike_catalog.csv): 70 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: aluminium 61, onbekend 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Scott,https://www.bikezona.com/bicicletas/scott-contessa-speedster-15/12164,
\bAddict\b,Scott Addict,,"Catalogus (reference_bike_catalog.csv): 92 uitvoeringen, modeljaren 2012-2023; framemateriaal daar: carbon 73, onbekend 19. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Scott,https://www.bikezona.com/bicicletas/scott-addict-cx/12140,
\bCR\s?1\b,Scott CR1,,"Catalogus (reference_bike_catalog.csv): 25 uitvoeringen, modeljaren 2012-2016; framemateriaal daar: carbon 17, onbekend 8. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Scott,https://www.bikezona.com/bicicletas/scott-contessa-cr1-comp/12163,
"Scott.{0,20}\bFoil\b|\bFoil\s*(RC|\d)",Scott Foil,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 48 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: carbon 39, onbekend 9. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Scott,https://www.bikezona.com/bicicletas/scott-contessa-foil/12161,
\bSolace\b,Scott Solace,,"Endurance. Catalogus (reference_bike_catalog.csv): 29 uitvoeringen, modeljaren 2014-2017; framemateriaal daar: carbon 29. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Scott,https://www.bikezona.com/bicicletas/scott-contessa-solace-15-compact/18602,
\bRomagna\b,Sensa Romagna,,"Catalogus (reference_bike_catalog.csv): 54 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: aluminium 49, onbekend 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20170909151720/http://www.sensabikes.com:80/bikes/road/793/romagna-comp,
"Sensa.{0,20}\bUmbria\b",Sensa Umbria,,"Catalogus (reference_bike_catalog.csv): 7 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: aluminium 6, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20170909153050/http://www.sensabikes.com:80/bikes/road/800/umbria-21,
\bGiuli(a|Aero)\b,Sensa Giulia,,"Giulia, Giulia Evo, GiuliAero. Catalogus (reference_bike_catalog.csv): 66 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: onbekend 39, carbon 27. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20190418220453/https://www.sensabikes.com/bikes/road/466/giulia-evo-blazing-orange,
"Sensa.{0,20}\bEmilia\b",Sensa Emilia,,"Ook als damesmodel (Emilia Lady). Catalogus (reference_bike_catalog.csv): 18 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: aluminium 16, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20211019214638/https://www.sensabikes.com/bikes/road/1090/emilia-disc-105,
"Sensa.{0,20}\b(Trentino|Terentino)\b",Sensa Trentino,,"Verkopers schrijven ook ""Terentino"". Catalogus (reference_bike_catalog.csv): 27 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: aluminium 23, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20170909153757/http://www.sensabikes.com:80/bikes/road/787/trentino-endura-105-disc,
"Sensa.{0,20}\bLombardi(a|je)\b",Sensa Lombardia,,"Catalogus (reference_bike_catalog.csv): 6 uitvoeringen, modeljaar niet vermeld; framemateriaal daar: carbon 5, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Sensa,https://web.archive.org/web/20190419001114/https://www.sensabikes.com/bikes/road/525/lombardia-105,
\bNirone\b,Bianchi (Via) Nirone,,"Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaren 2010-2016; framemateriaal daar: aluminium 7, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Bianchi,https://www.bikezona.com/bicicletas/bianchi-via-nirone-ultegra/9722,
"Bianchi.{0,20}\bImpulso\b",Bianchi Impulso,,"Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaren 2012-2016; framemateriaal daar: aluminium 8, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Bianchi,https://www.bikezona.com/bicicletas/bianchi-impulso-ultegra/12939,
"Bianchi.{0,20}\bInfinito\b",Bianchi Infinito,,"Endurance. Catalogus (reference_bike_catalog.csv): 9 uitvoeringen, modeljaren 2010-2014; framemateriaal daar: onbekend 7, carbon 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Bianchi,https://www.bikezona.com/bicicletas/bianchi-infinito-105/9721,
"Bianchi.{0,20}\bOltre\b",Bianchi Oltre,,"Catalogus (reference_bike_catalog.csv): 2 uitvoeringen, modeljaren 2012-2012; framemateriaal daar: onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Bianchi,https://www.bikezona.com/bicicletas/bianchi-oltre-dura-ace/12933,
"Bianchi.{0,20}\bSempre\b",Bianchi Sempre,,"Catalogus (reference_bike_catalog.csv): 7 uitvoeringen, modeljaren 2012-2014; framemateriaal daar: onbekend 5, carbon 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Bianchi,https://www.bikezona.com/bicicletas/bianchi-sempre-105/12937,
"(Specialized|S-?Works).{0,30}\bTarmac\b|\bTarmac\s*(SL\s?\d|Expert|Comp|Pro|Sport|Elite)\b",Specialized Tarmac,,"S-Works Tarmac valt hier ook onder. Het merk (of een uitvoering) is verplicht in het patroon: ""tarmac"" is ook gewoon Engels voor asfalt. Catalogus (reference_bike_catalog.csv): 85 uitvoeringen, modeljaren 2012-2022; framemateriaal daar: carbon 75, onbekend 10. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-s-works-tarmac-sl4-di2/11660,
\bVenge\b,Specialized Venge,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 32 uitvoeringen, modeljaren 2012-2020; framemateriaal daar: carbon 28, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-s-works-venge-sram-red/11667,
"Specialized.{0,30}\bAll?ez\b|\bAllez\s*(Sprint|E5|Elite|Sport|Comp|Pro)\b",Specialized Allez,,"Verkopers schrijven ook ""Alez"". Oude Allez-fietsen (jaren 80/90) vallen er ook onder; de catalogus begint in 2012. Catalogus (reference_bike_catalog.csv): 35 uitvoeringen, modeljaren 2012-2021; framemateriaal daar: aluminium 29, onbekend 6. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-allez-comp-105-compact/11696,
"Specialized.{0,20}\bDiverge\b|\bDiverge\s*(STR|Comp|Expert|Elite|Sport|E5)\b",Specialized Diverge,,"Gravelbike. Catalogus (reference_bike_catalog.csv): 10 uitvoeringen, modeljaren 2015-2017; framemateriaal daar: aluminium 6, carbon 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-diverge-sport-a1/20178,
"Specialized.{0,20}\bSecteu[rd]\b",Specialized Secteur,,"Catalogus (reference_bike_catalog.csv): 11 uitvoeringen, modeljaren 2012-2015; framemateriaal daar: aluminium 7, onbekend 4. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-secteur-comp-compact/11690,
"Specialized.{0,20}\bDolce\b",Specialized Dolce,,"Damesmodel. Catalogus (reference_bike_catalog.csv): 18 uitvoeringen, modeljaren 2012-2019; framemateriaal daar: aluminium 16, onbekend 2. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-dolce-sport-compact/11699,
"Specialized.{0,20}\bAmira\b",Specialized Amira,,"Damesmodel. Catalogus (reference_bike_catalog.csv): 17 uitvoeringen, modeljaren 2012-2018; framemateriaal daar: carbon 12, onbekend 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-amira-comp-compact/11674,
"Specialized.{0,20}\bRuby\b",Specialized Ruby,,"Damesmodel. Catalogus (reference_bike_catalog.csv): 20 uitvoeringen, modeljaren 2013-2018; framemateriaal daar: carbon 19, onbekend 1. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-ruby-elite-compact/14485,
"Specialized.{0,20}\bCrux\b",Specialized Crux,,"Cyclocross/gravel. Catalogus (reference_bike_catalog.csv): 3 uitvoeringen, modeljaren 2012-2012; framemateriaal daar: onbekend 3. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Specialized,https://www.bikezona.com/bicicletas/specialized-crux-comp-apex/11703,
\bCAAD|\bOptimo\b,Cannondale CAAD / Optimo,,"CAAD staat voor Cannondale Advanced Aluminum Design; alle catalogusrijen met bekend materiaal zijn aluminium. Optimo is de CAAD Optimo. Catalogus (reference_bike_catalog.csv): 69 uitvoeringen, modeljaren 2010-2022; framemateriaal daar: aluminium 58, onbekend 11. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-caad-8-105-compact/9233,aluminium
Super\s?Six|\bS6\s*EVO\b,Cannondale SuperSix,,"Meestal SuperSix EVO. Catalogus (reference_bike_catalog.csv): 91 uitvoeringen, modeljaren 2012-2023; framemateriaal daar: carbon 84, onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-supersix-evo-di2/10953,
System\s?Six,Cannondale SystemSix,,"Aero-racefiets. Catalogus (reference_bike_catalog.csv): 15 uitvoeringen, modeljaren 2019-2023; framemateriaal daar: carbon 15. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-systemsix-carbon-dura-ace/36256,
"Synapse.{0,15}(Carbon|Hi-?Mod)",Cannondale Synapse Carbon,,"Catalogus (reference_bike_catalog.csv): 95 uitvoeringen, modeljaren 2010-2023; framemateriaal daar: carbon 88, onbekend 7. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Cannondale,https://www.bikezona.com/bicicletas/cannondale-synapse-carbon-105-compact/9227,carbon
